Country,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Anguilla,September 2019,"4,129,235","416,200"
Anguilla,October 2019,"9,195,921","241,179"
Anguilla,November 2019,"5,635,447","187,864"
Anguilla,December 2019,"7,165,345","126,286"
Antigua and Barbuda,January 2016,"14,997,057","3,432,792"
Antigua and Barbuda,February 2016,"19,099,656","388,707"
Antigua and Barbuda,March 2016,"19,016,364","382,770"
Antigua and Barbuda,April 2016,"21,090,057","452,730"
Antigua and Barbuda,May 2016,"26,121,384","353,069"
Antigua and Barbuda,June 2016,"29,553,471","1,857,864"
Antigua and Barbuda,July 2016,"12,754,092","499,839"
Antigua and Barbuda,August 2016,"25,498,742","6,291,216"
Antigua and Barbuda,September 2016,"18,215,438","312,584"
Antigua and Barbuda,October 2016,"26,660,465","356,472"
Antigua and Barbuda,November 2016,"25,033,603","1,721,915"
Antigua and Barbuda,December 2016,"23,464,626","823,222"
Antigua and Barbuda,January 2017,"42,667,913","2,834,822"
Antigua and Barbuda,February 2017,"26,934,906","457,622"
Antigua and Barbuda,March 2017,"29,994,642","691,517"
Antigua and Barbuda,April 2017,"17,305,965","827,640"
Antigua and Barbuda,May 2017,"26,680,284","1,678,256"
Antigua and Barbuda,June 2017,"36,328,511","2,585,240"
Antigua and Barbuda,July 2017,"23,358,045","731,770"
Antigua and Barbuda,August 2017,"41,183,870","344,064"
Antigua and Barbuda,September 2017,"35,644,126","183,881"
Antigua and Barbuda,October 2017,"36,147,841","654,364"
Antigua and Barbuda,November 2017,"59,660,586","241,938"
Antigua and Barbuda,December 2017,"49,695,336","500,724"
Antigua and Barbuda,January 2018,"62,374,644","163,931"
Antigua and Barbuda,February 2018,"41,456,795","364,302"
Antigua and Barbuda,March 2018,"34,315,647","378,686"
Antigua and Barbuda,April 2018,"40,592,500","186,616"
Antigua and Barbuda,May 2018,"31,479,469","997,105"
Antigua and Barbuda,June 2018,"49,580,923","196,058"
Antigua and Barbuda,July 2018,"29,248,102","211,186"
Antigua and Barbuda,August 2018,"42,338,820","350,762"
Antigua and Barbuda,September 2018,"31,509,378","344,827"
Antigua and Barbuda,October 2018,"53,111,392","374,698"
Antigua and Barbuda,November 2018,"51,343,967","907,650"
Antigua and Barbuda,December 2018,"53,146,734","321,898"
Antigua and Barbuda,January 2019,"44,265,887","344,850"
Antigua and Barbuda,February 2019,"31,507,845","288,244"
Antigua and Barbuda,March 2019,"55,684,620","607,888"
Antigua and Barbuda,April 2019,"37,105,099","349,411"
Antigua and Barbuda,May 2019,"47,716,308","2,210,057"
Antigua and Barbuda,June 2019,"28,871,258","2,699,296"
Antigua and Barbuda,July 2019,"58,143,732","226,390"
Antigua and Barbuda,August 2019,"20,644,513","316,763"
Antigua and Barbuda,September 2019,"38,269,846","632,201"
Antigua and Barbuda,October 2019,"44,073,854","199,641"
Antigua and Barbuda,November 2019,"32,739,173","146,513"
Antigua and Barbuda,December 2019,"39,092,894","2,540,861"
Argentina,January 2016,"667,875,809","272,649,629"
Argentina,February 2016,"703,309,272","231,155,605"
Argentina,March 2016,"644,926,823","287,817,070"
Argentina,April 2016,"709,662,313","289,698,715"
Argentina,May 2016,"813,185,720","374,548,194"
Argentina,June 2016,"760,823,314","394,541,163"
Argentina,July 2016,"674,159,358","388,654,510"
Argentina,August 2016,"769,491,243","420,884,691"
Argentina,September 2016,"681,222,312","474,330,847"
Argentina,October 2016,"672,832,697","480,032,784"
Argentina,November 2016,"731,808,555","475,583,512"
Argentina,December 2016,"697,408,193","563,840,334"
Argentina,January 2017,"650,340,919","281,642,018"
Argentina,February 2017,"639,648,438","319,148,201"
Argentina,March 2017,"784,545,285","356,276,353"
Argentina,April 2017,"951,806,829","358,588,783"
Argentina,May 2017,"891,885,405","414,587,322"
Argentina,June 2017,"871,964,751","458,811,166"
Argentina,July 2017,"816,150,159","529,592,657"
Argentina,August 2017,"782,420,770","497,335,504"
Argentina,September 2017,"812,215,363","362,645,725"
Argentina,October 2017,"864,515,139","366,013,549"
Argentina,November 2017,"737,570,324","464,295,925"
Argentina,December 2017,"800,597,686","376,128,448"
Argentina,January 2018,"829,288,523","344,056,856"
Argentina,February 2018,"679,334,337","440,861,680"
Argentina,March 2018,"805,413,888","463,930,126"
Argentina,April 2018,"774,381,591","327,554,854"
Argentina,May 2018,"947,263,293","432,675,666"
Argentina,June 2018,"823,517,392","351,342,732"
Argentina,July 2018,"827,082,048","360,116,632"
Argentina,August 2018,"902,725,431","412,049,124"
Argentina,September 2018,"777,178,550","334,561,761"
Argentina,October 2018,"890,456,381","514,834,360"
Argentina,November 2018,"942,521,265","411,652,005"
Argentina,December 2018,"708,523,102","439,917,682"
Argentina,January 2019,"687,604,581","454,023,773"
Argentina,February 2019,"694,762,379","389,716,080"
Argentina,March 2019,"694,386,000","496,377,367"
Argentina,April 2019,"741,791,964","419,216,817"
Argentina,May 2019,"713,984,957","407,622,391"
Argentina,June 2019,"822,857,311","358,274,095"
Argentina,July 2019,"760,525,266","503,601,712"
Argentina,August 2019,"796,890,868","425,719,775"
Argentina,September 2019,"567,426,910","319,125,543"
Argentina,October 2019,"601,190,306","513,497,675"
Argentina,November 2019,"479,338,315","317,649,693"
Argentina,December 2019,"590,721,505","311,792,989"
Armenia,January 2016,"2,993,819","4,567,596"
Armenia,February 2016,"2,853,575","3,271,609"
Armenia,March 2016,"2,656,475","1,978,473"
Armenia,April 2016,"3,060,403","2,491,519"
Armenia,May 2016,"6,086,841","4,624,259"
Armenia,June 2016,"4,270,731","3,435,536"
Armenia,July 2016,"2,929,249","3,514,337"
Armenia,August 2016,"2,154,937","4,961,498"
Armenia,September 2016,"2,567,744","3,784,220"
Armenia,October 2016,"6,734,287","4,559,344"
Armenia,November 2016,"2,643,225","2,684,313"
Armenia,December 2016,"4,626,830","2,706,405"
Armenia,January 2017,"3,559,630","2,788,217"
Armenia,February 2017,"6,332,566","4,389,773"
Armenia,March 2017,"5,414,998","3,247,426"
Armenia,April 2017,"2,659,140","4,739,602"
Armenia,May 2017,"5,194,608","4,559,276"
Armenia,June 2017,"2,772,401","5,892,618"
Armenia,July 2017,"4,124,953","8,037,620"
Armenia,August 2017,"5,261,407","7,282,161"
Armenia,September 2017,"4,572,247","5,455,832"
Armenia,October 2017,"4,749,629","9,027,991"
Armenia,November 2017,"4,689,515","4,079,694"
Armenia,December 2017,"5,660,244","8,388,089"
Armenia,January 2018,"3,205,851","8,133,328"
Armenia,February 2018,"5,070,396","4,136,677"
Armenia,March 2018,"3,626,535","6,097,287"
Armenia,April 2018,"5,755,888","6,719,443"
Armenia,May 2018,"5,001,011","5,134,830"
Armenia,June 2018,"3,421,170","2,284,431"
Armenia,July 2018,"2,368,945","5,408,627"
Armenia,August 2018,"3,615,142","2,790,542"
Armenia,September 2018,"4,240,357","4,740,671"
Armenia,October 2018,"4,186,099","2,427,661"
Armenia,November 2018,"2,072,200","3,338,280"
Armenia,December 2018,"3,175,261","2,788,636"
Armenia,January 2019,"5,797,832","2,861,642"
Armenia,February 2019,"2,246,682","2,147,392"
Armenia,March 2019,"10,893,536","1,810,702"
Armenia,April 2019,"3,303,744","5,049,318"
Armenia,May 2019,"5,062,622","9,674,275"
Armenia,June 2019,"2,593,622","4,954,190"
Armenia,July 2019,"3,661,708","4,719,464"
Armenia,August 2019,"3,733,743","4,016,106"
Armenia,September 2019,"3,024,122","4,174,243"
Armenia,October 2019,"5,920,896","4,389,889"
Armenia,November 2019,"2,744,612","5,835,937"
Armenia,December 2019,"3,919,935","5,480,226"
Aruba,January 2016,"106,887,085","929,354"
Aruba,February 2016,"72,653,727","1,343,373"
Aruba,March 2016,"74,174,492","1,323,459"
Aruba,April 2016,"57,968,003","1,904,865"
Aruba,May 2016,"51,014,245","844,890"
Aruba,June 2016,"43,292,262","1,045,273"
Aruba,July 2016,"62,998,795","763,279"
Aruba,August 2016,"56,698,252","782,471"
Aruba,September 2016,"51,068,076","3,620,792"
Aruba,October 2016,"89,102,063","769,471"
Aruba,November 2016,"70,325,060","2,206,709"
Aruba,December 2016,"64,861,211","777,617"
Aruba,January 2017,"83,830,632","4,542,459"
Aruba,February 2017,"95,994,919","973,923"
Aruba,March 2017,"141,809,472","1,899,609"
Aruba,April 2017,"104,355,730","1,708,527"
Aruba,May 2017,"75,297,109","1,823,871"
Aruba,June 2017,"57,432,567","1,198,525"
Aruba,July 2017,"50,076,752","1,680,502"
Aruba,August 2017,"73,554,015","2,289,040"
Aruba,September 2017,"64,211,644","1,126,638"
Aruba,October 2017,"101,646,842","11,592,193"
Aruba,November 2017,"72,267,785","1,479,234"
Aruba,December 2017,"54,593,471","4,796,394"
Aruba,January 2018,"41,908,440","1,005,567"
Aruba,February 2018,"59,188,613","2,382,089"
Aruba,March 2018,"56,601,485","1,640,782"
Aruba,April 2018,"54,470,089","3,924,245"
Aruba,May 2018,"55,386,889","1,253,543"
Aruba,June 2018,"58,274,495","1,242,621"
Aruba,July 2018,"46,413,892","4,809,627"
Aruba,August 2018,"34,133,778","6,077,610"
Aruba,September 2018,"46,847,527","2,319,112"
Aruba,October 2018,"56,071,319","3,885,649"
Aruba,November 2018,"51,150,068","1,238,124"
Aruba,December 2018,"53,785,666","1,285,725"
Aruba,January 2019,"32,765,231","1,304,695"
Aruba,February 2019,"49,860,241","1,029,238"
Aruba,March 2019,"49,292,187","2,346,058"
Aruba,April 2019,"32,756,437","1,584,626"
Aruba,May 2019,"48,231,864","2,203,235"
Aruba,June 2019,"36,975,447","1,987,588"
Aruba,July 2019,"48,704,956","1,709,263"
Aruba,August 2019,"44,215,077","842,473"
Aruba,September 2019,"41,435,668","2,320,358"
Aruba,October 2019,"48,904,822","2,113,903"
Aruba,November 2019,"51,512,961","791,151"
Aruba,December 2019,"41,452,816","1,609,262"
Australia,January 2016,"1,511,178,489","806,291,076"
Australia,February 2016,"1,574,761,115","715,873,296"
Australia,March 2016,"1,865,514,965","783,149,585"
Australia,April 2016,"1,925,803,865","849,701,847"
Australia,May 2016,"1,870,203,381","958,637,393"
Australia,June 2016,"1,968,312,533","756,843,997"
Australia,July 2016,"1,956,790,040","817,224,448"
Australia,August 2016,"1,958,125,852","844,140,944"
Australia,September 2016,"1,952,920,223","756,976,450"
Australia,October 2016,"1,896,766,743","815,366,929"
Australia,November 2016,"1,810,030,049","714,791,606"
Australia,December 2016,"1,854,361,071","688,823,969"
Australia,January 2017,"1,638,011,858","863,195,270"
Australia,February 2017,"1,867,375,419","661,088,182"
Australia,March 2017,"2,155,561,193","895,201,251"
Australia,April 2017,"2,024,134,614","862,707,346"
Australia,May 2017,"2,087,886,515","846,055,988"
Australia,June 2017,"2,216,083,156","835,926,246"
Australia,July 2017,"1,987,823,512","908,617,853"
Australia,August 2017,"2,006,042,571","952,314,948"
Australia,September 2017,"2,025,708,334","901,005,692"
Australia,October 2017,"2,337,215,608","717,594,483"
Australia,November 2017,"1,924,346,725","754,853,315"
Australia,December 2017,"2,249,072,103","850,757,471"
Australia,January 2018,"1,944,846,810","848,798,934"
Australia,February 2018,"1,957,362,362","602,510,104"
Australia,March 2018,"2,107,862,865","842,166,494"
Australia,April 2018,"2,183,329,640","877,765,094"
Australia,May 2018,"2,137,218,325","860,410,953"
Australia,June 2018,"2,358,901,927","800,592,611"
Australia,July 2018,"2,040,520,452","912,771,630"
Australia,August 2018,"2,234,810,069","925,297,954"
Australia,September 2018,"1,993,041,077","857,190,175"
Australia,October 2018,"2,100,520,939","903,070,547"
Australia,November 2018,"2,227,527,601","873,123,969"
Australia,December 2018,"2,047,677,378","777,389,622"
Australia,January 2019,"1,809,476,913","882,650,769"
Australia,February 2019,"1,798,224,524","762,425,570"
Australia,March 2019,"2,223,223,803","917,324,153"
Australia,April 2019,"2,092,024,019","906,393,033"
Australia,May 2019,"2,001,619,227","1,027,215,070"
Australia,June 2019,"2,057,120,019","869,930,139"
Australia,July 2019,"2,212,362,809","993,955,021"
Australia,August 2019,"2,169,219,112","1,040,295,273"
Australia,September 2019,"2,088,533,938","812,569,528"
Australia,October 2019,"2,615,153,229","886,715,478"
Australia,November 2019,"2,205,419,044","885,840,660"
Australia,December 2019,"2,717,714,942","859,197,918"
Austria,January 2016,"1,083,246,997","734,642,273"
Austria,February 2016,"506,370,240","903,300,087"
Austria,March 2016,"230,762,488","939,967,105"
Austria,April 2016,"227,062,696","923,242,593"
Austria,May 2016,"180,834,585","971,738,199"
Austria,June 2016,"266,873,076","920,628,959"
Austria,July 2016,"189,805,123","877,004,071"
Austria,August 2016,"211,571,748","929,414,993"
Austria,September 2016,"248,867,098","833,076,129"
Austria,October 2016,"208,070,990","907,906,285"
Austria,November 2016,"198,738,636","1,037,666,995"
Austria,December 2016,"243,488,264","887,022,767"
Austria,January 2017,"848,252,248","810,135,623"
Austria,February 2017,"952,483,100","863,556,896"
Austria,March 2017,"288,768,151","1,010,785,883"
Austria,April 2017,"239,509,526","987,651,585"
Austria,May 2017,"196,953,160","1,041,438,347"
Austria,June 2017,"282,497,507","949,509,146"
Austria,July 2017,"208,774,343","962,704,086"
Austria,August 2017,"225,016,992","1,013,347,292"
Austria,September 2017,"222,590,349","884,607,575"
Austria,October 2017,"220,052,177","1,028,116,041"
Austria,November 2017,"241,956,500","1,093,564,228"
Austria,December 2017,"347,711,236","1,080,107,170"
Austria,January 2018,"296,699,731","899,025,781"
Austria,February 2018,"310,447,805","910,604,196"
Austria,March 2018,"241,003,792","1,221,544,111"
Austria,April 2018,"206,655,966","1,077,330,963"
Austria,May 2018,"444,022,348","1,060,233,313"
Austria,June 2018,"306,580,559","1,117,496,144"
Austria,July 2018,"227,520,741","1,216,418,254"
Austria,August 2018,"259,285,204","1,255,604,945"
Austria,September 2018,"280,564,631","1,028,771,753"
Austria,October 2018,"321,426,926","1,369,126,997"
Austria,November 2018,"265,133,031","1,247,103,381"
Austria,December 2018,"404,578,213","1,169,494,289"
Austria,January 2019,"374,047,650","906,180,854"
Austria,February 2019,"1,027,100,375","932,137,870"
Austria,March 2019,"382,063,347","1,121,876,644"
Austria,April 2019,"391,338,559","1,155,658,617"
Austria,May 2019,"376,608,827","1,203,049,301"
Austria,June 2019,"345,765,376","1,357,367,528"
Austria,July 2019,"1,204,913,865","1,098,871,976"
Austria,August 2019,"331,151,822","1,062,859,749"
Austria,September 2019,"334,583,933","964,877,922"
Austria,October 2019,"307,426,381","1,144,614,954"
Austria,November 2019,"354,182,384","1,138,675,563"
Austria,December 2019,"279,666,700","1,075,369,859"
Azerbaijan,January 2016,"22,766,004","588,155"
