Commodity,Month,Year,Quarter,Time,Balance ($US),Total Exports Value ($US),Customs Import Value (Gen) ($US)
Minerals & Ores,March,2004,Q1,March 2004,9637876,20581208,10943332
Minerals & Ores,April,2004,Q2,April 2004,-580502,10393589,10974091
Minerals & Ores,May,2004,Q2,May 2004,8606694,22140561,13533867
Minerals & Ores,June,2004,Q2,June 2004,-6822143,10183818,17005961
Minerals & Ores,July,2004,Q3,July 2004,90163,16436925,16346762
Minerals & Ores,August,2004,Q3,August 2004,23561919,46019546,22457627
Minerals & Ores,September,2004,Q3,September 2004,-991162,17829271,18820433
Minerals & Ores,October,2004,Q4,October 2004,7742220,19425731,11683511
Minerals & Ores,November,2004,Q4,November 2004,5373049,13979089,8606040
Minerals & Ores,December,2004,Q4,December 2004,17910505,29999574,12089069
Minerals & Ores,January,2005,Q1,January 2005,-12313121,21443705,33756826
Minerals & Ores,February,2005,Q1,February 2005,12994418,24766865,11772447
Minerals & Ores,March,2005,Q1,March 2005,-1730449,18608870,20339319
Minerals & Ores,April,2005,Q2,April 2005,41117533,60031562,18914029
Minerals & Ores,May,2005,Q2,May 2005,17287979,36042037,18754058
Minerals & Ores,June,2005,Q2,June 2005,35152495,49142151,13989656
Minerals & Ores,July,2005,Q3,July 2005,46201987,60009498,13807511
Minerals & Ores,August,2005,Q3,August 2005,26332010,48075630,21743620
Minerals & Ores,September,2005,Q3,September 2005,43007373,73880662,30873289
Minerals & Ores,October,2005,Q4,October 2005,28800488,43145515,14345027
Minerals & Ores,November,2005,Q4,November 2005,4305499,28158963,23853464
Minerals & Ores,December,2005,Q4,December 2005,17659717,32208965,14549248
Minerals & Ores,January,2006,Q1,January 2006,-8007767,24778146,32785913
Minerals & Ores,February,2006,Q1,February 2006,11262910,28565779,17302869
Minerals & Ores,March,2006,Q1,March 2006,25947386,47715422,21768036
Minerals & Ores,April,2006,Q2,April 2006,6117579,27710287,21592708
Minerals & Ores,May,2006,Q2,May 2006,27025711,46393723,19368012
Minerals & Ores,June,2006,Q2,June 2006,-8210568,14865568,23076136
Minerals & Ores,July,2006,Q3,July 2006,-3913969,30070463,33984432
Minerals & Ores,August,2006,Q3,August 2006,22633424,40878069,18244645
Minerals & Ores,September,2006,Q3,September 2006,20392046,37519321,17127275
Minerals & Ores,October,2006,Q4,October 2006,63424667,82359426,18934759
Minerals & Ores,November,2006,Q4,November 2006,42626090,67787967,25161877
Minerals & Ores,December,2006,Q4,December 2006,38607278,63657252,25049974
Minerals & Ores,January,2007,Q1,January 2007,5598662,35062473,29463811
Minerals & Ores,February,2007,Q1,February 2007,7663022,27643872,19980850
Minerals & Ores,March,2007,Q1,March 2007,42531545,60603947,18072402
Minerals & Ores,April,2007,Q2,April 2007,13384409,40033545,26649136
Minerals & Ores,May,2007,Q2,May 2007,35857583,62405742,26548159
Minerals & Ores,June,2007,Q2,June 2007,74940047,100181410,25241363
Minerals & Ores,July,2007,Q3,July 2007,109701810,120285689,10583879
Minerals & Ores,August,2007,Q3,August 2007,185280389,207451393,22171004
Minerals & Ores,September,2007,Q3,September 2007,65098772,87181374,22082602
Minerals & Ores,October,2007,Q4,October 2007,29904540,47472235,17567695
Minerals & Ores,November,2007,Q4,November 2007,59958937,91543248,31584311
Minerals & Ores,December,2007,Q4,December 2007,54676228,75410354,20734126
Minerals & Ores,January,2008,Q1,January 2008,-362166,14552309,14914475
Minerals & Ores,February,2008,Q1,February 2008,78455746,99115139,20659393
Minerals & Ores,March,2008,Q1,March 2008,10558605,35594221,25035616
Minerals & Ores,April,2008,Q2,April 2008,54572480,82289113,27716633
Minerals & Ores,May,2008,Q2,May 2008,38151668,62498529,24346861
Minerals & Ores,June,2008,Q2,June 2008,6710306,35355329,28645023
Minerals & Ores,July,2008,Q3,July 2008,134381183,141214448,6833265
Minerals & Ores,August,2008,Q3,August 2008,60315203,93964296,33649093
Minerals & Ores,September,2008,Q3,September 2008,69454560,110065073,40610513
Minerals & Ores,October,2008,Q4,October 2008,32589445,52600884,20011439
Minerals & Ores,November,2008,Q4,November 2008,12181579,70033925,57852346
Minerals & Ores,December,2008,Q4,December 2008,41809136,57486872,15677736
Minerals & Ores,January,2009,Q1,January 2009,-8641842,39816196,48458038
Minerals & Ores,February,2009,Q1,February 2009,16060212,26452856,10392644
Minerals & Ores,March,2009,Q1,March 2009,55010398,62227700,7217302
Minerals & Ores,April,2009,Q2,April 2009,54435352,64320992,9885640
Minerals & Ores,May,2009,Q2,May 2009,44260218,52718126,8457908
Minerals & Ores,June,2009,Q2,June 2009,48504040,58921218,10417178
Minerals & Ores,July,2009,Q3,July 2009,64795128,76354662,11559534
Minerals & Ores,August,2009,Q3,August 2009,80110264,89664739,9554475
Minerals & Ores,September,2009,Q3,September 2009,141620008,145577281,3957273
Minerals & Ores,October,2009,Q4,October 2009,94533352,102179484,7646132
Minerals & Ores,November,2009,Q4,November 2009,85842899,96184963,10342064
Minerals & Ores,December,2009,Q4,December 2009,95699385,100163913,4464528
Minerals & Ores,January,2010,Q1,January 2010,75183144,89439239,14256095
Minerals & Ores,February,2010,Q1,February 2010,129269266,138013085,8743819
Minerals & Ores,March,2010,Q1,March 2010,127895512,150937651,23042139
Minerals & Ores,April,2010,Q2,April 2010,170329445,171788804,1459359
Minerals & Ores,May,2010,Q2,May 2010,91004576,106294826,15290250
Minerals & Ores,June,2010,Q2,June 2010,111530715,141029719,29499004
Minerals & Ores,July,2010,Q3,July 2010,194706698,210148387,15441689
Minerals & Ores,August,2010,Q3,August 2010,167068983,184931375,17862392
Minerals & Ores,September,2010,Q3,September 2010,243822010,254347149,10525139
Minerals & Ores,October,2010,Q4,October 2010,161572339,174025874,12453535
Minerals & Ores,November,2010,Q4,November 2010,171366291,199016212,27649921
Minerals & Ores,December,2010,Q4,December 2010,225737820,237210222,11472402
Minerals & Ores,January,2011,Q1,January 2011,179358213,191509284,12151071
Minerals & Ores,February,2011,Q1,February 2011,185486842,197389249,11902407
Minerals & Ores,March,2011,Q1,March 2011,252950620,271513328,18562708
Minerals & Ores,April,2011,Q2,April 2011,209972343,220732649,10760306
Minerals & Ores,May,2011,Q2,May 2011,136887475,157849552,20962077
Minerals & Ores,June,2011,Q2,June 2011,200218728,209276184,9057456
Minerals & Ores,July,2011,Q3,July 2011,93075152,107854167,14779015
Minerals & Ores,August,2011,Q3,August 2011,229115382,249521322,20405940
Minerals & Ores,September,2011,Q3,September 2011,236029369,271613212,35583843
Minerals & Ores,October,2011,Q4,October 2011,204233770,246726557,42492787
Minerals & Ores,November,2011,Q4,November 2011,274154055,284130476,9976421
Minerals & Ores,December,2011,Q4,December 2011,219041959,245849216,26807257
Minerals & Ores,January,2012,Q1,January 2012,111248748,143694820,32446072
Minerals & Ores,February,2012,Q1,February 2012,162107735,192992373,30884638
Minerals & Ores,March,2012,Q1,March 2012,215569686,237698512,22128826
Minerals & Ores,April,2012,Q2,April 2012,296613670,313153999,16540329
Minerals & Ores,May,2012,Q2,May 2012,407356046,420005648,12649602
Minerals & Ores,June,2012,Q2,June 2012,425467893,428987291,3519398
Minerals & Ores,July,2012,Q3,July 2012,216448957,233001733,16552776
Minerals & Ores,August,2012,Q3,August 2012,125254098,146858592,21604494
Minerals & Ores,September,2012,Q3,September 2012,178062585,195191614,17129029
Minerals & Ores,October,2012,Q4,October 2012,282395562,314077592,31682030
Minerals & Ores,November,2012,Q4,November 2012,188479698,235317289,46837591
Minerals & Ores,December,2012,Q4,December 2012,187249119,208061570,20812451
Minerals & Ores,January,2013,Q1,January 2013,196567904,215728450,19160546
Minerals & Ores,February,2013,Q1,February 2013,187730107,200956099,13225992
Minerals & Ores,March,2013,Q1,March 2013,301820250,310235619,8415369
Minerals & Ores,April,2013,Q2,April 2013,298283896,305630525,7346629
Minerals & Ores,May,2013,Q2,May 2013,150205668,175069149,24863481
Minerals & Ores,June,2013,Q2,June 2013,136181477,147032116,10850639
Minerals & Ores,July,2013,Q3,July 2013,81953704,105885594,23931890
Minerals & Ores,August,2013,Q3,August 2013,142218371,156683586,14465215
Minerals & Ores,September,2013,Q3,September 2013,250008055,274820245,24812190
Minerals & Ores,October,2013,Q4,October 2013,250089907,279787330,29697423
Minerals & Ores,November,2013,Q4,November 2013,150318618,164863123,14544505
Minerals & Ores,December,2013,Q4,December 2013,191384422,207285179,15900757
Minerals & Ores,January,2014,Q1,January 2014,122124923,132995862,10870939
Minerals & Ores,February,2014,Q1,February 2014,175419435,186860504,11441069
Minerals & Ores,March,2014,Q1,March 2014,172569010,202750407,30181397
Minerals & Ores,April,2014,Q2,April 2014,82202408,105140165,22937757
Minerals & Ores,May,2014,Q2,May 2014,91590413,126024757,34434344
Minerals & Ores,June,2014,Q2,June 2014,152566053,178205124,25639071
Minerals & Ores,July,2014,Q3,July 2014,172203486,192532231,20328745
Minerals & Ores,August,2014,Q3,August 2014,108303396,124453773,16150377
Minerals & Ores,September,2014,Q3,September 2014,146529106,159201450,12672344
Minerals & Ores,October,2014,Q4,October 2014,165837388,189936055,24098667
Minerals & Ores,November,2014,Q4,November 2014,70787407,92833262,22045855
Minerals & Ores,December,2014,Q4,December 2014,123444279,135907047,12462768
Minerals & Ores,January,2015,Q1,January 2015,19971109,68265871,48294762
Minerals & Ores,February,2015,Q1,February 2015,70337719,100266859,29929140
Minerals & Ores,March,2015,Q1,March 2015,74669972,92789255,18119283
Minerals & Ores,April,2015,Q2,April 2015,80635219,89554121,8918902
Minerals & Ores,May,2015,Q2,May 2015,56652220,75054346,18402126
Minerals & Ores,June,2015,Q2,June 2015,64004285,84736975,20732690
Minerals & Ores,July,2015,Q3,July 2015,69729483,86118516,16389033
Minerals & Ores,August,2015,Q3,August 2015,106148454,130179068,24030614
Minerals & Ores,September,2015,Q3,September 2015,202146751,214354371,12207620
Minerals & Ores,October,2015,Q4,October 2015,65033982,96468509,31434527
Minerals & Ores,November,2015,Q4,November 2015,85548587,93820354,8271767
Minerals & Ores,December,2015,Q4,December 2015,43455786,55286039,11830253
Minerals & Ores,January,2016,Q1,January 2016,57849328,73234127,15384799
Minerals & Ores,February,2016,Q1,February 2016,40586197,68432303,27846106
Minerals & Ores,March,2016,Q1,March 2016,71973046,86454256,14481210
Minerals & Ores,April,2016,Q2,April 2016,55996856,65128949,9132093
Minerals & Ores,May,2016,Q2,May 2016,50452094,64250088,13797994
Minerals & Ores,June,2016,Q2,June 2016,52884469,75343234,22458765
Minerals & Ores,July,2016,Q3,July 2016,75261627,93762464,18500837
Minerals & Ores,August,2016,Q3,August 2016,108248069,121022245,12774176
Minerals & Ores,September,2016,Q3,September 2016,84459286,97852466,13393180
Minerals & Ores,October,2016,Q4,October 2016,177367260,187189281,9822021
Minerals & Ores,November,2016,Q4,November 2016,183340954,189432122,6091168
Minerals & Ores,December,2016,Q4,December 2016,130566602,148221940,17655338
Minerals & Ores,January,2017,Q1,January 2017,117722032,130739700,13017668
Minerals & Ores,February,2017,Q1,February 2017,59268836,72234756,12965920
Minerals & Ores,March,2017,Q1,March 2017,107499827,125335586,17835759
Minerals & Ores,April,2017,Q2,April 2017,125937687,138884793,12947106
Minerals & Ores,May,2017,Q2,May 2017,111772993,129757622,17984629
Minerals & Ores,June,2017,Q2,June 2017,101157222,123043513,21886291
Minerals & Ores,July,2017,Q3,July 2017,161631067,188513379,26882312
Minerals & Ores,August,2017,Q3,August 2017,169251111,188987043,19735932
Minerals & Ores,September,2017,Q3,September 2017,172341406,190929741,18588335
Minerals & Ores,October,2017,Q4,October 2017,149552616,177967524,28414908
Minerals & Ores,November,2017,Q4,November 2017,126063964,142230393,16166429
Minerals & Ores,December,2017,Q4,December 2017,123539146,149023868,25484722
Minerals & Ores,January,2018,Q1,January 2018,122846896,138407426,15560530
Minerals & Ores,February,2018,Q1,February 2018,120283079,139217642,18934563
Minerals & Ores,March,2018,Q1,March 2018,145706962,165554922,19847960
Minerals & Ores,April,2018,Q2,April 2018,118537080,126009408,7472328
Minerals & Ores,May,2018,Q2,May 2018,100068762,123920026,23851264
Minerals & Ores,June,2018,Q2,June 2018,157585669,185412719,27827050
Minerals & Ores,July,2018,Q3,July 2018,155044441,175518887,20474446
Minerals & Ores,August,2018,Q3,August 2018,90229935,105705264,15475329
Minerals & Ores,September,2018,Q3,September 2018,12219795,42422953,30203158
Minerals & Ores,October,2018,Q4,October 2018,59268106,80792223,21524117
Minerals & Ores,November,2018,Q4,November 2018,16033957,28796406,12762449
Minerals & Ores,December,2018,Q4,December 2018,42954775,54165899,11211124
Minerals & Ores,January,2019,Q1,January 2019,37367079,46909017,9541938
Minerals & Ores,February,2019,Q1,February 2019,32307108,49346089,17038981
Minerals & Ores,March,2019,Q1,March 2019,20946671,31644613,10697942
Minerals & Ores,April,2019,Q2,April 2019,38769850,46395419,7625569
Minerals & Ores,May,2019,Q2,May 2019,23841252,44703573,20862321
Minerals & Ores,June,2019,Q2,June 2019,40312312,63974212,23661900
Minerals & Ores,July,2019,Q3,July 2019,30034869,43416353,13381484
Minerals & Ores,August,2019,Q3,August 2019,23763865,45887181,22123316
Minerals & Ores,September,2019,Q3,September 2019,55144901,68527456,13382555
Minerals & Ores,October,2019,Q4,October 2019,42967364,57546145,14578781
Minerals & Ores,November,2019,Q4,November 2019,45598612,57567201,11968589
Minerals & Ores,December,2019,Q4,December 2019,-1636461,19837067,21473528
Food & Kindred Products,January,2002,Q1,January 2002,-11624773,48217713,59842486
Food & Kindred Products,February,2002,Q1,February 2002,8953729,64788369,55834640
Food & Kindred Products,March,2002,Q1,March 2002,2585444,60279053,57693609
Food & Kindred Products,April,2002,Q2,April 2002,-805202,57241436,58046638
Food & Kindred Products,May,2002,Q2,May 2002,13087597,72364876,59277279
Food & Kindred Products,June,2002,Q2,June 2002,10346477,72091329,61744852
Food & Kindred Products,July,2002,Q3,July 2002,-2943638,62705215,65648853
Food & Kindred Products,August,2002,Q3,August 2002,5659362,74913700,69254338
Food & Kindred Products,September,2002,Q3,September 2002,15435752,75258736,59822984
Food & Kindred Products,October,2002,Q4,October 2002,6457655,63359646,56901991
Food & Kindred Products,November,2002,Q4,November 2002,25202722,84852459,59649737
Food & Kindred Products,December,2002,Q4,December 2002,-18223979,65524179,83748158
Food & Kindred Products,January,2003,Q1,January 2003,-24037635,58499424,82537059
Food & Kindred Products,February,2003,Q1,February 2003,20722026,87152909,66430883
Food & Kindred Products,March,2003,Q1,March 2003,20118499,100928920,80810421
Food & Kindred Products,April,2003,Q2,April 2003,4097399,87583667,83486268
Food & Kindred Products,May,2003,Q2,May 2003,-5365887,87312330,92678217
Food & Kindred Products,June,2003,Q2,June 2003,12643502,90155534,77512032
Food & Kindred Products,July,2003,Q3,July 2003,32509472,120255155,87745683
Food & Kindred Products,August,2003,Q3,August 2003,30296592,107556878,77260286
Food & Kindred Products,September,2003,Q3,September 2003,6344977,88135919,81790942
Food & Kindred Products,October,2003,Q4,October 2003,9011609,100867632,91856023
Food & Kindred Products,November,2003,Q4,November 2003,11111327,102650575,91539248
Food & Kindred Products,December,2003,Q4,December 2003,-6068459,94398271,100466730
Food & Kindred Products,January,2004,Q1,January 2004,-34062742,73880707,107943449
Food & Kindred Products,February,2004,Q1,February 2004,-19721171,70697474,90418645
Food & Kindred Products,March,2004,Q1,March 2004,833376,102064953,101231577
Food & Kindred Products,April,2004,Q2,April 2004,-36927660,93814518,130742178
Food & Kindred Products,May,2004,Q2,May 2004,-9290401,115706144,124996545
Food & Kindred Products,June,2004,Q2,June 2004,3871515,113928097,110056582
Food & Kindred Products,July,2004,Q3,July 2004,-16559,101053591,101070150
Food & Kindred Products,August,2004,Q3,August 2004,8369177,96608906,88239729
Food & Kindred Products,September,2004,Q3,September 2004,-3740708,84791574,88532282
Food & Kindred Products,October,2004,Q4,October 2004,-13043430,86423945,99467375
Food & Kindred Products,November,2004,Q4,November 2004,-34574875,72129617,106704492
Food & Kindred Products,December,2004,Q4,December 2004,-49127477,77212583,126340060
Food & Kindred Products,January,2005,Q1,January 2005,-69242670,69641591,138884261
Food & Kindred Products,February,2005,Q1,February 2005,-23797957,87426924,111224881
Food & Kindred Products,March,2005,Q1,March 2005,-23806853,88809218,112616071
Food & Kindred Products,April,2005,Q2,April 2005,-14768998,101782867,116551865
Food & Kindred Products,May,2005,Q2,May 2005,-32282934,109137037,141419971
Food & Kindred Products,June,2005,Q2,June 2005,-43399728,94029686,137429414
Food & Kindred Products,July,2005,Q3,July 2005,-24588284,102921079,127509363
Food & Kindred Products,August,2005,Q3,August 2005,-12256484,117874235,130130719
Food & Kindred Products,September,2005,Q3,September 2005,-11822740,105560925,117383665
Food & Kindred Products,October,2005,Q4,October 2005,-22196335,104005242,126201577
Food & Kindred Products,November,2005,Q4,November 2005,-5138316,118069875,123208191
Food & Kindred Products,December,2005,Q4,December 2005,-34968629,108688997,143657626
Food & Kindred Products,January,2006,Q1,January 2006,-52370072,97855126,150225198
Food & Kindred Products,February,2006,Q1,February 2006,-31303084,104013097,135316181
Food & Kindred Products,March,2006,Q1,March 2006,11229027,143862322,132633295
Food & Kindred Products,April,2006,Q2,April 2006,-19838569,130333192,150171761
Food & Kindred Products,May,2006,Q2,May 2006,-4268407,152210412,156478819
Food & Kindred Products,June,2006,Q2,June 2006,-21943413,137514219,159457632
Food & Kindred Products,July,2006,Q3,July 2006,-365837,148917237,149283074
Food & Kindred Products,August,2006,Q3,August 2006,453536,162777168,162323632
Food & Kindred Products,September,2006,Q3,September 2006,-2312220,134908828,137221048
Food & Kindred Products,October,2006,Q4,October 2006,-20459304,147991541,168450845
Food & Kindred Products,November,2006,Q4,November 2006,-46137615,148265754,194403369
Food & Kindred Products,December,2006,Q4,December 2006,1965490,195506664,193541174
Food & Kindred Products,January,2007,Q1,January 2007,-40692097,173899163,214591260
Food & Kindred Products,February,2007,Q1,February 2007,-33324368,169884143,203208511
Food & Kindred Products,March,2007,Q1,March 2007,-26026644,162476190,188502834
Food & Kindred Products,April,2007,Q2,April 2007,-44268260,153590318,197858578
Food & Kindred Products,May,2007,Q2,May 2007,-22307772,184347876,206655648
Food & Kindred Products,June,2007,Q2,June 2007,-12655418,192842174,205497592
Food & Kindred Products,July,2007,Q3,July 2007,-26194591,191943075,218137666
Food & Kindred Products,August,2007,Q3,August 2007,11580510,222924080,211343570
Food & Kindred Products,September,2007,Q3,September 2007,19443403,212077972,192634569
Food & Kindred Products,October,2007,Q4,October 2007,24059757,211711241,187651484
Food & Kindred Products,November,2007,Q4,November 2007,-31390783,192672476,224063259
Food & Kindred Products,December,2007,Q4,December 2007,8537535,248684610,240147075
Food & Kindred Products,January,2008,Q1,January 2008,-92968425,198777394,291745819
Food & Kindred Products,February,2008,Q1,February 2008,22910982,276552928,253641946
Food & Kindred Products,March,2008,Q1,March 2008,42492478,245046705,202554227
Food & Kindred Products,April,2008,Q2,April 2008,37416610,271871910,234455300
Food & Kindred Products,May,2008,Q2,May 2008,-20899216,253790008,274689224
Food & Kindred Products,June,2008,Q2,June 2008,-15798998,248222319,264021317
Food & Kindred Products,July,2008,Q3,July 2008,-53824677,222313730,276138407
Food & Kindred Products,August,2008,Q3,August 2008,-69565433,198198802,267764235
Food & Kindred Products,September,2008,Q3,September 2008,-39975554,198813370,238788924
Food & Kindred Products,October,2008,Q4,October 2008,-47520899,204541824,252062723
Food & Kindred Products,November,2008,Q4,November 2008,-37082032,186059610,223141642
Food & Kindred Products,December,2008,Q4,December 2008,-93642168,128355580,221997748
Food & Kindred Products,January,2009,Q1,January 2009,-94525409,134839339,229364748
Food & Kindred Products,February,2009,Q1,February 2009,-38554356,137684510,176238866
Food & Kindred Products,March,2009,Q1,March 2009,3220967,186098029,182877062
Food & Kindred Products,April,2009,Q2,April 2009,8961335,215581992,206620657
Food & Kindred Products,May,2009,Q2,May 2009,-41275419,172992574,214267993
Food & Kindred Products,June,2009,Q2,June 2009,-61535993,155048780,216584773
Food & Kindred Products,July,2009,Q3,July 2009,-58418449,172133855,230552304
Food & Kindred Products,August,2009,Q3,August 2009,-15171807,186641005,201812812
Food & Kindred Products,September,2009,Q3,September 2009,-16581829,193514049,210095878
Food & Kindred Products,October,2009,Q4,October 2009,-11260192,190589856,201850048
Food & Kindred Products,November,2009,Q4,November 2009,-7333978,185502318,192836296
Food & Kindred Products,December,2009,Q4,December 2009,-17316304,202451041,219767345
Food & Kindred Products,January,2010,Q1,January 2010,-63333140,154691510,218024650
Food & Kindred Products,February,2010,Q1,February 2010,-22468214,162646432,185114646
Food & Kindred Products,March,2010,Q1,March 2010,-15823000,176752289,192575289
Food & Kindred Products,April,2010,Q2,April 2010,-5783071,194575179,200358250
Food & Kindred Products,May,2010,Q2,May 2010,-41399792,198714261,240114053
Food & Kindred Products,June,2010,Q2,June 2010,-70579220,196141404,266720624
Food & Kindred Products,July,2010,Q3,July 2010,-33385923,238368724,271754647
Food & Kindred Products,August,2010,Q3,August 2010,-7168358,269356742,276525100
Food & Kindred Products,September,2010,Q3,September 2010,11710207,249471224,237761017
Food & Kindred Products,October,2010,Q4,October 2010,44848392,291192192,246343800
Food & Kindred Products,November,2010,Q4,November 2010,77197304,309517191,232319887
Food & Kindred Products,December,2010,Q4,December 2010,114941141,401386531,286445390
Food & Kindred Products,January,2011,Q1,January 2011,-59119524,248305105,307424629
Food & Kindred Products,February,2011,Q1,February 2011,-48730026,213625044,262355070
Food & Kindred Products,March,2011,Q1,March 2011,40462435,282612159,242149724
Food & Kindred Products,April,2011,Q2,April 2011,-96137865,204120495,300258360
Food & Kindred Products,May,2011,Q2,May 2011,-97539144,223182217,320721361
Food & Kindred Products,June,2011,Q2,June 2011,-69209809,234651712,303861521
Food & Kindred Products,July,2011,Q3,July 2011,30149278,305446133,275296855
Food & Kindred Products,August,2011,Q3,August 2011,3215465,302012609,298797144
Food & Kindred Products,September,2011,Q3,September 2011,106381456,358761804,252380348
Food & Kindred Products,October,2011,Q4,October 2011,122655927,358354005,235698078
Food & Kindred Products,November,2011,Q4,November 2011,89699469,362006896,272307427
Food & Kindred Products,December,2011,Q4,December 2011,-14388400,318174174,332562574
Food & Kindred Products,January,2012,Q1,January 2012,-83966577,282021751,365988328
Food & Kindred Products,February,2012,Q1,February 2012,-22304553,263032291,285336844
Food & Kindred Products,March,2012,Q1,March 2012,38843360,295583219,256739859
Food & Kindred Products,April,2012,Q2,April 2012,-16533804,300331396,316865200
Food & Kindred Products,May,2012,Q2,May 2012,-24730062,305537058,330267120
Food & Kindred Products,June,2012,Q2,June 2012,-47367478,308608597,355976075
Food & Kindred Products,July,2012,Q3,July 2012,60767807,412949548,352181741
Food & Kindred Products,August,2012,Q3,August 2012,70498177,392363436,321865259
Food & Kindred Products,September,2012,Q3,September 2012,10010205,309566929,299556724
Food & Kindred Products,October,2012,Q4,October 2012,139421257,433735364,294314107
Food & Kindred Products,November,2012,Q4,November 2012,66848110,382872297,316024187
Food & Kindred Products,December,2012,Q4,December 2012,24650558,373760518,349109960
Food & Kindred Products,January,2013,Q1,January 2013,-50700008,333797698,384497706
Food & Kindred Products,February,2013,Q1,February 2013,113490976,382470717,268979741
Food & Kindred Products,March,2013,Q1,March 2013,96093388,323283215,227189827
Food & Kindred Products,April,2013,Q2,April 2013,100238560,387378032,287139472
Food & Kindred Products,May,2013,Q2,May 2013,45732908,373220626,327487718
Food & Kindred Products,June,2013,Q2,June 2013,86699928,399360374,312660446
Food & Kindred Products,July,2013,Q3,July 2013,77822369,401881619,324059250
Food & Kindred Products,August,2013,Q3,August 2013,110969608,424594751,313625143
Food & Kindred Products,September,2013,Q3,September 2013,96551247,397381821,300830574
Food & Kindred Products,October,2013,Q4,October 2013,108570660,402408483,293837823
Food & Kindred Products,November,2013,Q4,November 2013,142366260,418825354,276459094
Food & Kindred Products,December,2013,Q4,December 2013,38601339,393549843,354948504
Food & Kindred Products,January,2014,Q1,January 2014,14161648,377229458,363067810
Food & Kindred Products,February,2014,Q1,February 2014,120115724,385564390,265448666
Food & Kindred Products,March,2014,Q1,March 2014,219818725,471527081,251708356
Food & Kindred Products,April,2014,Q2,April 2014,84197678,380317600,296119922
Food & Kindred Products,May,2014,Q2,May 2014,62044674,370026793,307982119
Food & Kindred Products,June,2014,Q2,June 2014,57656983,373100871,315443888
Food & Kindred Products,July,2014,Q3,July 2014,50085730,372161122,322075392
Food & Kindred Products,August,2014,Q3,August 2014,44692478,327695273,283002795
Food & Kindred Products,September,2014,Q3,September 2014,-258451,278579673,278838124
Food & Kindred Products,October,2014,Q4,October 2014,21741328,314089907,292348579
Food & Kindred Products,November,2014,Q4,November 2014,16852871,301935222,285082351
Food & Kindred Products,December,2014,Q4,December 2014,-3049944,315972992,319022936
Food & Kindred Products,January,2015,Q1,January 2015,-99772221,209154066,308926287
Food & Kindred Products,February,2015,Q1,February 2015,-14862514,238458282,253320796
Food & Kindred Products,March,2015,Q1,March 2015,13763453,325560337,311796884
Food & Kindred Products,April,2015,Q2,April 2015,26355499,321043195,294687696
Food & Kindred Products,May,2015,Q2,May 2015,11425081,319996311,308571230
Food & Kindred Products,June,2015,Q2,June 2015,-14938256,286243602,301181858
Food & Kindred Products,July,2015,Q3,July 2015,-5612583,296870133,302482716
Food & Kindred Products,August,2015,Q3,August 2015,-7786856,284747348,292534204
Food & Kindred Products,September,2015,Q3,September 2015,-48368292,237346721,285715013
Food & Kindred Products,October,2015,Q4,October 2015,-23858846,256099968,279958814
Food & Kindred Products,November,2015,Q4,November 2015,-13940849,265127325,279068174
Food & Kindred Products,December,2015,Q4,December 2015,-67169797,260267094,327436891
Food & Kindred Products,January,2016,Q1,January 2016,-92287489,226101792,318389281
Food & Kindred Products,February,2016,Q1,February 2016,-25709049,265108985,290818034
Food & Kindred Products,March,2016,Q1,March 2016,31501130,269399399,237898269
Food & Kindred Products,April,2016,Q2,April 2016,-12870765,255563141,268433906
Food & Kindred Products,May,2016,Q2,May 2016,-12047146,289060351,301107497
Food & Kindred Products,June,2016,Q2,June 2016,-36863384,270293542,307156926
Food & Kindred Products,July,2016,Q3,July 2016,-28963885,274325972,303289857
Food & Kindred Products,August,2016,Q3,August 2016,-38991454,277900915,316892369
Food & Kindred Products,September,2016,Q3,September 2016,-9904856,270278408,280183264
Food & Kindred Products,October,2016,Q4,October 2016,-538797,295543460,296082257
Food & Kindred Products,November,2016,Q4,November 2016,2824702,317090657,314265955
Food & Kindred Products,December,2016,Q4,December 2016,-39080194,293904788,332984982
Food & Kindred Products,January,2017,Q1,January 2017,-107662497,240623739,348286236
Food & Kindred Products,February,2017,Q1,February 2017,-523518,289222344,289745862
Food & Kindred Products,March,2017,Q1,March 2017,22559430,292797420,270237990
Food & Kindred Products,April,2017,Q2,April 2017,-21448913,269727072,291175985
Food & Kindred Products,May,2017,Q2,May 2017,-29614540,289291803,318906343
Food & Kindred Products,June,2017,Q2,June 2017,-54390814,271029251,325420065
Food & Kindred Products,July,2017,Q3,July 2017,-65308987,257626986,322935973
Food & Kindred Products,August,2017,Q3,August 2017,-49004697,266844847,315849544
Food & Kindred Products,September,2017,Q3,September 2017,-49352822,254538415,303891237
Food & Kindred Products,October,2017,Q4,October 2017,-23638669,285638764,309277433
Food & Kindred Products,November,2017,Q4,November 2017,-18455753,287383923,305839676
Food & Kindred Products,December,2017,Q4,December 2017,-78728895,297648700,376377595
Food & Kindred Products,January,2018,Q1,January 2018,-149534913,227652830,377187743
Food & Kindred Products,February,2018,Q1,February 2018,-56200188,258551927,314752115
Food & Kindred Products,March,2018,Q1,March 2018,-9506897,292718228,302225125
Food & Kindred Products,April,2018,Q2,April 2018,2852605,303967915,301115310
Food & Kindred Products,May,2018,Q2,May 2018,-76943476,280358064,357301540
Food & Kindred Products,June,2018,Q2,June 2018,-108008531,249735141,357743672
Food & Kindred Products,July,2018,Q3,July 2018,-147368053,218633175,366001228
